tr|A0A016TV92|A0A016TV92_9BILA	tr|A0A016TV92|A0A016TV92_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Ancylostoma ceylanicum OX=53326 GN=Acey_s0077.g1138 PE=3 SV=1
tr|A0A193KU74|A0A193KU74_SCHMD	tr|A0A193KU74|A0A193KU74_SCHMD GCR027 OS=Schmidtea mediterranea OX=79327 GN=gcr027 PE=2 SV=1
tr|A0A193KU75|A0A193KU75_SCHMD	tr|A0A193KU75|A0A193KU75_SCHMD GCR035 (Fragment) OS=Schmidtea mediterranea OX=79327 GN=gcr035 PE=2 SV=1
tr|A0A193KUF5|A0A193KUF5_SCHMD	tr|A0A193KUF5|A0A193KUF5_SCHMD GCR145 OS=Schmidtea mediterranea OX=79327 GN=gcr145 PE=2 SV=1
tr|A0A193KUH6|A0A193KUH6_SCHMD	tr|A0A193KUH6|A0A193KUH6_SCHMD NPYR-12 OS=Schmidtea mediterranea OX=79327 GN=npyr-12 PE=2 SV=1
tr|A0A194PYT9|A0A194PYT9_PAPXU	tr|A0A194PYT9|A0A194PYT9_PAPXU Neuropeptides capa receptor OS=Papilio xuthus OX=66420 GN=RR46_09414 PE=3 SV=1
tr|A0A194QMJ0|A0A194QMJ0_PAPMA	tr|A0A194QMJ0|A0A194QMJ0_PAPMA Beta-2 adrenergic receptor OS=Papilio machaon OX=76193 GN=RR48_11794 PE=4 SV=1
tr|A0A194R7H1|A0A194R7H1_PAPMA	tr|A0A194R7H1|A0A194R7H1_PAPMA Neuropeptides capa receptor OS=Papilio machaon OX=76193 GN=RR48_07044 PE=3 SV=1
tr|A0A194RF64|A0A194RF64_PAPMA	tr|A0A194RF64|A0A194RF64_PAPMA Beta-2 adrenergic receptor OS=Papilio machaon OX=76193 GN=RR48_13637 PE=3 SV=1
tr|A0A194W858|A0A194W858_9PEZI	tr|A0A194W858|A0A194W858_9PEZI Uncharacterized protein OS=Valsa mali OX=105487 GN=VM1G_07768 PE=4 SV=1
tr|A0A195B1T4|A0A195B1T4_9HYME	tr|A0A195B1T4|A0A195B1T4_9HYME Neuromedin-B receptor (Fragment) OS=Atta colombica OX=520822 GN=ALC53_11364 PE=3 SV=1
tr|A0A195CW68|A0A195CW68_9HYME	tr|A0A195CW68|A0A195CW68_9HYME Neuromedin-B receptor OS=Cyphomyrmex costatus OX=456900 GN=ALC62_04313 PE=4 SV=1
tr|A0A195DKQ8|A0A195DKQ8_9HYME	tr|A0A195DKQ8|A0A195DKQ8_9HYME Thyrotropin-releasing hormone receptor OS=Trachymyrmex cornetzi OX=471704 GN=ALC57_14478 PE=4 SV=1
tr|A0A195FV28|A0A195FV28_9HYME	tr|A0A195FV28|A0A195FV28_9HYME Neuromedin-B receptor (Fragment) OS=Trachymyrmex septentrionalis OX=34720 GN=ALC56_01986 PE=4 SV=1
tr|A0A1A6FUC8|A0A1A6FUC8_NEOLE	tr|A0A1A6FUC8|A0A1A6FUC8_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Neotoma lepida OX=56216 GN=A6R68_11696 PE=4 SV=1
tr|A0A1A6FUV3|A0A1A6FUV3_NEOLE	tr|A0A1A6FUV3|A0A1A6FUV3_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Neotoma lepida OX=56216 GN=A6R68_11530 PE=3 SV=1
tr|A0A1A6FUW4|A0A1A6FUW4_NEOLE	tr|A0A1A6FUW4|A0A1A6FUW4_NEOLE Olfactory receptor (Fragment) OS=Neotoma lepida OX=56216 GN=A6R68_11963 PE=3 SV=1
tr|A0A1A6FXR1|A0A1A6FXR1_NEOLE	tr|A0A1A6FXR1|A0A1A6FXR1_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Neotoma lepida OX=56216 GN=A6R68_10523 PE=3 SV=1
tr|A0A1A6FZI1|A0A1A6FZI1_NEOLE	tr|A0A1A6FZI1|A0A1A6FZI1_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Neotoma lepida OX=56216 GN=A6R68_09867 PE=4 SV=1
tr|A0A1A6GFG2|A0A1A6GFG2_NEOLE	tr|A0A1A6GFG2|A0A1A6GFG2_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Neotoma lepida OX=56216 GN=A6R68_06481 PE=4 SV=1
tr|A0A1A6GFJ8|A0A1A6GFJ8_NEOLE	tr|A0A1A6GFJ8|A0A1A6GFJ8_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Neotoma lepida OX=56216 GN=A6R68_07384 PE=3 SV=1
tr|A0A1A6GHU0|A0A1A6GHU0_NEOLE	tr|A0A1A6GHU0|A0A1A6GHU0_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Neotoma lepida OX=56216 GN=A6R68_05622 PE=3 SV=1
tr|A0A1A6GLQ7|A0A1A6GLQ7_NEOLE	tr|A0A1A6GLQ7|A0A1A6GLQ7_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Neotoma lepida OX=56216 GN=A6R68_04302 PE=4 SV=1
tr|A0A1A6GNI2|A0A1A6GNI2_NEOLE	tr|A0A1A6GNI2|A0A1A6GNI2_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Neotoma lepida OX=56216 GN=A6R68_03617 PE=4 SV=1
tr|A0A1A6GPP3|A0A1A6GPP3_NEOLE	tr|A0A1A6GPP3|A0A1A6GPP3_NEOLE Olfactory receptor (Fragment) OS=Neotoma lepida OX=56216 GN=A6R68_04132 PE=3 SV=1
tr|A0A1A6GPU6|A0A1A6GPU6_NEOLE	tr|A0A1A6GPU6|A0A1A6GPU6_NEOLE Olfactory receptor OS=Neotoma lepida OX=56216 GN=A6R68_03734 PE=3 SV=1
tr|A0A1A6GQP8|A0A1A6GQP8_NEOLE	tr|A0A1A6GQP8|A0A1A6GQP8_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Neotoma lepida OX=56216 GN=A6R68_02951 PE=4 SV=1
tr|A0A1A6GR83|A0A1A6GR83_NEOLE	tr|A0A1A6GR83|A0A1A6GR83_NEOLE Olfactory receptor OS=Neotoma lepida OX=56216 GN=A6R68_03067 PE=3 SV=1
tr|A0A1A6GTC2|A0A1A6GTC2_NEOLE	tr|A0A1A6GTC2|A0A1A6GTC2_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Neotoma lepida OX=56216 GN=A6R68_02039 PE=4 SV=1
tr|A0A1A6GVV7|A0A1A6GVV7_NEOLE	tr|A0A1A6GVV7|A0A1A6GVV7_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Neotoma lepida OX=56216 GN=A6R68_01381 PE=3 SV=1
tr|A0A1A6GWK2|A0A1A6GWK2_NEOLE	tr|A0A1A6GWK2|A0A1A6GWK2_NEOLE Olfactory receptor OS=Neotoma lepida OX=56216 GN=A6R68_00756 PE=3 SV=1
tr|A0A1A6GX20|A0A1A6GX20_NEOLE	tr|A0A1A6GX20|A0A1A6GX20_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Neotoma lepida OX=56216 GN=A6R68_00738 PE=3 SV=1
tr|A0A1A6GZ31|A0A1A6GZ31_NEOLE	tr|A0A1A6GZ31|A0A1A6GZ31_NEOLE Uncharacterized protein (Fragment) OS=Neotoma lepida OX=56216 GN=A6R68_00592 PE=3 SV=1
tr|A0A1A6GZX4|A0A1A6GZX4_NEOLE	tr|A0A1A6GZX4|A0A1A6GZX4_NEOLE Uncharacterized protein (Fragment) OS=Neotoma lepida OX=56216 GN=A6R68_13879 PE=3 SV=1
tr|A0A1A6H092|A0A1A6H092_NEOLE	tr|A0A1A6H092|A0A1A6H092_NEOLE Uncharacterized protein (Fragment) OS=Neotoma lepida OX=56216 GN=A6R68_13414 PE=3 SV=1
tr|A0A1A6H2Y7|A0A1A6H2Y7_NEOLE	tr|A0A1A6H2Y7|A0A1A6H2Y7_NEOLE Olfactory receptor OS=Neotoma lepida OX=56216 GN=A6R68_12742 PE=3 SV=1
tr|A0A1A6H4N9|A0A1A6H4N9_NEOLE	tr|A0A1A6H4N9|A0A1A6H4N9_NEOLE Olfactory receptor (Fragment) OS=Neotoma lepida OX=56216 GN=A6R68_15904 PE=3 SV=1
tr|A0A1A6H622|A0A1A6H622_NEOLE	tr|A0A1A6H622|A0A1A6H622_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Neotoma lepida OX=56216 GN=A6R68_15702 PE=4 SV=1
tr|A0A1A6H819|A0A1A6H819_NEOLE	tr|A0A1A6H819|A0A1A6H819_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Neotoma lepida OX=56216 GN=A6R68_15717 PE=3 SV=1
tr|A0A1A6HB60|A0A1A6HB60_NEOLE	tr|A0A1A6HB60|A0A1A6HB60_NEOLE Olfactory receptor (Fragment) OS=Neotoma lepida OX=56216 GN=A6R68_17742 PE=3 SV=1
tr|A0A1A6HBV8|A0A1A6HBV8_NEOLE	tr|A0A1A6HBV8|A0A1A6HBV8_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Neotoma lepida OX=56216 GN=A6R68_14097 PE=3 SV=1
tr|A0A1A6HPA3|A0A1A6HPA3_NEOLE	tr|A0A1A6HPA3|A0A1A6HPA3_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Neotoma lepida OX=56216 GN=A6R68_21713 PE=4 SV=1
tr|A0A1A6HS52|A0A1A6HS52_NEOLE	tr|A0A1A6HS52|A0A1A6HS52_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Neotoma lepida OX=56216 GN=A6R68_20512 PE=4 SV=1
tr|A0A1A6HSK8|A0A1A6HSK8_NEOLE	tr|A0A1A6HSK8|A0A1A6HSK8_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Neotoma lepida OX=56216 GN=A6R68_20541 PE=3 SV=1
tr|A0A1A6HTZ4|A0A1A6HTZ4_NEOLE	tr|A0A1A6HTZ4|A0A1A6HTZ4_NEOLE Uncharacterized protein (Fragment) OS=Neotoma lepida OX=56216 GN=A6R68_24290 PE=3 SV=1
tr|A0A1A6HU82|A0A1A6HU82_NEOLE	tr|A0A1A6HU82|A0A1A6HU82_NEOLE Uncharacterized protein (Fragment) OS=Neotoma lepida OX=56216 GN=A6R68_24221 PE=3 SV=1
tr|A0A1A6HUT8|A0A1A6HUT8_NEOLE	tr|A0A1A6HUT8|A0A1A6HUT8_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Neotoma lepida OX=56216 GN=A6R68_24235 PE=4 SV=1
tr|A0A1A6HWK1|A0A1A6HWK1_NEOLE	tr|A0A1A6HWK1|A0A1A6HWK1_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Neotoma lepida OX=56216 GN=A6R68_23644 PE=4 SV=1
tr|A0A1A6HZ33|A0A1A6HZ33_NEOLE	tr|A0A1A6HZ33|A0A1A6HZ33_NEOLE Olfactory receptor OS=Neotoma lepida OX=56216 GN=A6R68_22507 PE=3 SV=1
tr|A0A1A6HZL7|A0A1A6HZL7_NEOLE	tr|A0A1A6HZL7|A0A1A6HZL7_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Neotoma lepida OX=56216 GN=A6R68_22833 PE=4 SV=1
tr|A0A1A6I088|A0A1A6I088_NEOLE	tr|A0A1A6I088|A0A1A6I088_NEOLE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Neotoma lepida OX=56216 GN=A6R68_22288 PE=3 SV=1
tr|A0A1A7W974|A0A1A7W974_9TELE	tr|A0A1A7W974|A0A1A7W974_9TELE Endothelin receptor type Aa OS=Iconisemion striatum OX=60296 GN=EDNRAA PE=3 SV=1
tr|A0A1A7W9N3|A0A1A7W9N3_9TELE	tr|A0A1A7W9N3|A0A1A7W9N3_9TELE G protein-coupled receptor 68 OS=Iconisemion striatum OX=60296 GN=GPR68 PE=3 SV=1
tr|A0A1A7WBG5|A0A1A7WBG5_9TELE	tr|A0A1A7WBG5|A0A1A7WBG5_9TELE G protein-coupled receptor 34 OS=Iconisemion striatum OX=60296 GN=GPR34 PE=3 SV=1
tr|A0A1A7WEY7|A0A1A7WEY7_9TELE	tr|A0A1A7WEY7|A0A1A7WEY7_9TELE G protein-coupled receptor 83 (Fragment) OS=Iconisemion striatum OX=60296 GN=GPR83 PE=4 SV=1
tr|A0A1A7WKC1|A0A1A7WKC1_9TELE	tr|A0A1A7WKC1|A0A1A7WKC1_9TELE G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Iconisemion striatum OX=60296 GN=Nfu_g_1_012667 PE=4 SV=1
tr|A0A1A7WM08|A0A1A7WM08_9TELE	tr|A0A1A7WM08|A0A1A7WM08_9TELE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Iconisemion striatum OX=60296 GN=BX072576.1 PE=3 SV=1
tr|A0A1A7X3Y8|A0A1A7X3Y8_9TELE	tr|A0A1A7X3Y8|A0A1A7X3Y8_9TELE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Iconisemion striatum OX=60296 GN=CABZ01053221.1 PE=3 SV=1
tr|A0A1A7XEX8|A0A1A7XEX8_9TELE	tr|A0A1A7XEX8|A0A1A7XEX8_9TELE G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Iconisemion striatum OX=60296 GN=LTB4R2 PE=3 SV=1
tr|A0A1A7XS22|A0A1A7XS22_9TELE	tr|A0A1A7XS22|A0A1A7XS22_9TELE Sphingosine-1-phosphate receptor 2 OS=Iconisemion striatum OX=60296 GN=S1PR2 PE=3 SV=1
tr|A0A1A7XZ43|A0A1A7XZ43_9TELE	tr|A0A1A7XZ43|A0A1A7XZ43_9TELE Dopamine receptor D3 (Fragment) OS=Iconisemion striatum OX=60296 GN=DRD3 PE=4 SV=1
tr|A0A1A7Y2A7|A0A1A7Y2A7_9TELE	tr|A0A1A7Y2A7|A0A1A7Y2A7_9TELE Adenosine A2b receptor (Fragment) OS=Iconisemion striatum OX=60296 GN=ADORA2B PE=3 SV=1
tr|A0A1A7Y875|A0A1A7Y875_9TELE	tr|A0A1A7Y875|A0A1A7Y875_9TELE Cholecystokinin B receptor (Fragment) OS=Iconisemion striatum OX=60296 GN=CCKBR PE=3 SV=1
tr|A0A1A7YAI3|A0A1A7YAI3_9TELE	tr|A0A1A7YAI3|A0A1A7YAI3_9TELE G protein-coupled receptor 61 OS=Iconisemion striatum OX=60296 GN=GPR61 PE=3 SV=1
tr|A0A1A7YRQ1|A0A1A7YRQ1_9TELE	tr|A0A1A7YRQ1|A0A1A7YRQ1_9TELE Endothelin receptor (Fragment) OS=Iconisemion striatum OX=60296 GN=OLA.145 PE=3 SV=1
tr|A0A1A7YUH1|A0A1A7YUH1_9TELE	tr|A0A1A7YUH1|A0A1A7YUH1_9TELE Opioid receptor, kappa 1 (Fragment) OS=Iconisemion striatum OX=60296 GN=OPRK1 PE=3 SV=1
tr|A0A1A7Z9Z9|A0A1A7Z9Z9_NOTFU	tr|A0A1A7Z9Z9|A0A1A7Z9Z9_NOTFU Chemokine (C-C motif) receptor-like 1a (Fragment) OS=Nothobranchius furzeri OX=105023 GN=CCRL1A PE=3 SV=1
tr|A0A1A7ZFI4|A0A1A7ZFI4_NOTFU	tr|A0A1A7ZFI4|A0A1A7ZFI4_NOTFU G protein-coupled receptor 61 OS=Nothobranchius furzeri OX=105023 GN=GPR61 PE=3 SV=1
tr|A0A1A7ZIN5|A0A1A7ZIN5_NOTFU	tr|A0A1A7ZIN5|A0A1A7ZIN5_NOTFU Chemokine-like receptor 1 OS=Nothobranchius furzeri OX=105023 GN=CMKLR1 PE=3 SV=1
tr|A0A1A7ZKC6|A0A1A7ZKC6_NOTFU	tr|A0A1A7ZKC6|A0A1A7ZKC6_NOTFU G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Nothobranchius furzeri OX=105023 GN=Nfu_g_1_025763 PE=3 SV=1
tr|A0A1A7ZNJ7|A0A1A7ZNJ7_NOTFU	tr|A0A1A7ZNJ7|A0A1A7ZNJ7_NOTFU Uncharacterized protein (Fragment) OS=Nothobranchius furzeri OX=105023 GN=Nfu_g_1_025572 PE=4 SV=1
tr|A0A1A7ZPD0|A0A1A7ZPD0_NOTFU	tr|A0A1A7ZPD0|A0A1A7ZPD0_NOTFU Arginine vasopressin receptor 2 (Fragment) OS=Nothobranchius furzeri OX=105023 GN=AVPR2 PE=3 SV=1
tr|A0A1A7ZUC1|A0A1A7ZUC1_NOTFU	tr|A0A1A7ZUC1|A0A1A7ZUC1_NOTFU Prostaglandin E receptor 2 (Subtype EP2), 53kDa (Fragment) OS=Nothobranchius furzeri OX=105023 GN=PTGER2 PE=4 SV=1
tr|A0A1A8A9E3|A0A1A8A9E3_NOTFU	tr|A0A1A8A9E3|A0A1A8A9E3_NOTFU G protein-coupled receptor 68 OS=Nothobranchius furzeri OX=105023 GN=GPR68 PE=3 SV=1
tr|A0A1A8AEF8|A0A1A8AEF8_NOTFU	tr|A0A1A8AEF8|A0A1A8AEF8_NOTFU Oxytocin receptor OS=Nothobranchius furzeri OX=105023 GN=OXTR PE=3 SV=1
tr|A0A1A8AKD4|A0A1A8AKD4_NOTFU	tr|A0A1A8AKD4|A0A1A8AKD4_NOTFU Endothelin receptor type Aa OS=Nothobranchius furzeri OX=105023 GN=EDNRAA PE=3 SV=1
tr|A0A1A8ATF4|A0A1A8ATF4_NOTFU	tr|A0A1A8ATF4|A0A1A8ATF4_NOTFU G protein-coupled receptor 176 OS=Nothobranchius furzeri OX=105023 GN=GPR176 PE=4 SV=1
tr|A0A1A8AVB1|A0A1A8AVB1_NOTFU	tr|A0A1A8AVB1|A0A1A8AVB1_NOTFU Oxytocin receptor like (Fragment) OS=Nothobranchius furzeri OX=105023 GN=OXTRL PE=3 SV=1
tr|A0A1A8AX97|A0A1A8AX97_NOTFU	tr|A0A1A8AX97|A0A1A8AX97_NOTFU Prostaglandin E receptor 1a (Subtype EP1) OS=Nothobranchius furzeri OX=105023 GN=PTGER1A PE=4 SV=1
tr|A0A1A8B0H6|A0A1A8B0H6_NOTFU	tr|A0A1A8B0H6|A0A1A8B0H6_NOTFU G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Nothobranchius furzeri OX=105023 GN=Nfu_g_1_001037 PE=3 SV=1
tr|A0A1A8B9B6|A0A1A8B9B6_NOTFU	tr|A0A1A8B9B6|A0A1A8B9B6_NOTFU Tachykinin receptor 2 (Fragment) OS=Nothobranchius furzeri OX=105023 GN=TACR2 PE=4 SV=1
tr|A0A1A8BF05|A0A1A8BF05_9TELE	tr|A0A1A8BF05|A0A1A8BF05_9TELE Prostaglandin I2 (Prostacyclin) receptor (IP) OS=Nothobranchius kadleci OX=1051664 GN=PTGIR PE=3 SV=1
tr|A0A1A8BIE3|A0A1A8BIE3_9TELE	tr|A0A1A8BIE3|A0A1A8BIE3_9TELE Uncharacterized protein (Fragment) OS=Nothobranchius kadleci OX=1051664 GN=Nfu_g_1_012392 PE=4 SV=1
tr|A0A1A8BIQ1|A0A1A8BIQ1_9TELE	tr|A0A1A8BIQ1|A0A1A8BIQ1_9TELE G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Nothobranchius kadleci OX=1051664 GN=Nfu_g_1_020905 PE=3 SV=1
tr|A0A1A8BLK8|A0A1A8BLK8_9TELE	tr|A0A1A8BLK8|A0A1A8BLK8_9TELE G protein-coupled receptor 61 OS=Nothobranchius kadleci OX=1051664 GN=GPR61 PE=3 SV=1
tr|A0A1A8BMQ5|A0A1A8BMQ5_9TELE	tr|A0A1A8BMQ5|A0A1A8BMQ5_9TELE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Nothobranchius kadleci OX=1051664 GN=BX072576.1 PE=3 SV=1
tr|A0A1A8BQU1|A0A1A8BQU1_9TELE	tr|A0A1A8BQU1|A0A1A8BQU1_9TELE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Nothobranchius kadleci OX=1051664 GN=Nfu_g_1_004057 PE=3 SV=1
tr|A0A1A8BVM5|A0A1A8BVM5_9TELE	tr|A0A1A8BVM5|A0A1A8BVM5_9TELE Opsin 4xb (Fragment) OS=Nothobranchius kadleci OX=1051664 GN=OPN4XB PE=4 SV=1
tr|A0A1A8CKN5|A0A1A8CKN5_9TELE	tr|A0A1A8CKN5|A0A1A8CKN5_9TELE Opiate receptor-like 1 OS=Nothobranchius kadleci OX=1051664 GN=OPRL1 PE=4 SV=1
tr|A0A1A8CPF1|A0A1A8CPF1_9TELE	tr|A0A1A8CPF1|A0A1A8CPF1_9TELE G protein-coupled receptor 34 OS=Nothobranchius kadleci OX=1051664 GN=GPR34 PE=3 SV=1
tr|A0A1A8CRN6|A0A1A8CRN6_9TELE	tr|A0A1A8CRN6|A0A1A8CRN6_9TELE Pyrimidinergic receptor P2Y, G-protein coupled, 6 (Fragment) OS=Nothobranchius kadleci OX=1051664 GN=P2RY6 PE=4 SV=1
tr|A0A1A8CXH4|A0A1A8CXH4_9TELE	tr|A0A1A8CXH4|A0A1A8CXH4_9TELE G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Nothobranchius kadleci OX=1051664 GN=Nfu_g_1_024136 PE=3 SV=1
tr|A0A1A8D6A5|A0A1A8D6A5_9TELE	tr|A0A1A8D6A5|A0A1A8D6A5_9TELE Platelet-activating factor receptor OS=Nothobranchius kadleci OX=1051664 GN=AL844186.1 PE=3 SV=1
tr|A0A1A8DCF2|A0A1A8DCF2_9TELE	tr|A0A1A8DCF2|A0A1A8DCF2_9TELE Adenosine A2b receptor (Fragment) OS=Nothobranchius kadleci OX=1051664 GN=ADORA2B PE=3 SV=1
tr|A0A1A8DUF4|A0A1A8DUF4_9TELE	tr|A0A1A8DUF4|A0A1A8DUF4_9TELE Uncharacterized protein (Fragment) OS=Nothobranchius kadleci OX=1051664 GN=GPR21 PE=4 SV=1
tr|A0A1A8EI76|A0A1A8EI76_9TELE	tr|A0A1A8EI76|A0A1A8EI76_9TELE Gonadotropin-releasing hormone receptor 2 (Fragment) OS=Nothobranchius korthausae OX=1143690 GN=CABZ01080434.1 PE=4 SV=1
tr|A0A1A8EJ53|A0A1A8EJ53_9TELE	tr|A0A1A8EJ53|A0A1A8EJ53_9TELE Sphingosine-1-phosphate receptor 5a (Fragment) OS=Nothobranchius kadleci OX=1051664 GN=S1PR5A PE=3 SV=1
tr|A0A1A8ELG9|A0A1A8ELG9_9TELE	tr|A0A1A8ELG9|A0A1A8ELG9_9TELE G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Nothobranchius korthausae OX=1143690 GN=Nfu_g_1_004057 PE=3 SV=1
tr|A0A1A8EM50|A0A1A8EM50_9TELE	tr|A0A1A8EM50|A0A1A8EM50_9TELE Type 1/III-2 gonadotropin-releasing hormone receptor, Uncharacterized protein (Fragment) OS=Nothobranchius korthausae OX=1143690 GN=GNRHR1 PE=4 SV=1
tr|A0A1A8F931|A0A1A8F931_9TELE	tr|A0A1A8F931|A0A1A8F931_9TELE G protein-coupled receptor 61 OS=Nothobranchius korthausae OX=1143690 GN=GPR61 PE=3 SV=1
tr|A0A1A8FF15|A0A1A8FF15_9TELE	tr|A0A1A8FF15|A0A1A8FF15_9TELE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Nothobranchius korthausae OX=1143690 GN=CABZ01054884.1 PE=4 SV=1
tr|A0A1A8FH62|A0A1A8FH62_9TELE	tr|A0A1A8FH62|A0A1A8FH62_9TELE Prostaglandin E receptor 1a (Subtype EP1) OS=Nothobranchius korthausae OX=1143690 GN=PTGER1A PE=4 SV=1
tr|A0A1A8FTQ3|A0A1A8FTQ3_9TELE	tr|A0A1A8FTQ3|A0A1A8FTQ3_9TELE Gonadotropin releasing hormone receptor 4 (Fragment) OS=Nothobranchius korthausae OX=1143690 GN=GNRHR4 PE=4 SV=1
tr|A0A1A8G435|A0A1A8G435_9TELE	tr|A0A1A8G435|A0A1A8G435_9TELE KIAA1217 (Fragment) OS=Nothobranchius korthausae OX=1143690 GN=KIAA1217 PE=4 SV=1
tr|A0A1A8G4W8|A0A1A8G4W8_9TELE	tr|A0A1A8G4W8|A0A1A8G4W8_9TELE Opiate receptor-like 1 OS=Nothobranchius korthausae OX=1143690 GN=OPRL1 PE=4 SV=1
tr|A0A1A8G5P4|A0A1A8G5P4_9TELE	tr|A0A1A8G5P4|A0A1A8G5P4_9TELE G protein-coupled receptor 34 OS=Nothobranchius korthausae OX=1143690 GN=GPR34 PE=3 SV=1
tr|A0A1A8GNK8|A0A1A8GNK8_9TELE	tr|A0A1A8GNK8|A0A1A8GNK8_9TELE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Nothobranchius korthausae OX=1143690 GN=BX072576.1 PE=3 SV=1
tr|A0A1A8GTD1|A0A1A8GTD1_9TELE	tr|A0A1A8GTD1|A0A1A8GTD1_9TELE Relaxin/insulin-like family peptide receptor 3.2a (Fragment) OS=Nothobranchius korthausae OX=1143690 GN=RXFP3.2A PE=4 SV=1
tr|A0A1A8H435|A0A1A8H435_9TELE	tr|A0A1A8H435|A0A1A8H435_9TELE Uncharacterized protein (Fragment) OS=Nothobranchius korthausae OX=1143690 GN=Nfu_g_1_001530 PE=4 SV=1
tr|A0A1A8HH06|A0A1A8HH06_9TELE	tr|A0A1A8HH06|A0A1A8HH06_9TELE G protein-coupled receptor 78 (Fragment) OS=Nothobranchius korthausae OX=1143690 GN=GPR78 PE=4 SV=1
tr|A0A1A8HQT0|A0A1A8HQT0_NOTKU	tr|A0A1A8HQT0|A0A1A8HQT0_NOTKU Sphingosine-1-phosphate receptor 3 (Fragment) OS=Nothobranchius kuhntae OX=321403 GN=FP085391.2 PE=3 SV=1
tr|A0A1A8HUF3|A0A1A8HUF3_NOTKU	tr|A0A1A8HUF3|A0A1A8HUF3_NOTKU G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Nothobranchius kuhntae OX=321403 GN=Nfu_g_1_002499 PE=4 SV=1
tr|A0A1A8HWL5|A0A1A8HWL5_NOTKU	tr|A0A1A8HWL5|A0A1A8HWL5_NOTKU Platelet-activating factor receptor OS=Nothobranchius kuhntae OX=321403 GN=AL844186.1 PE=3 SV=1
tr|A0A1A8HXB1|A0A1A8HXB1_NOTKU	tr|A0A1A8HXB1|A0A1A8HXB1_NOTKU Tachykinin receptor 1b (Fragment) OS=Nothobranchius kuhntae OX=321403 GN=TACR1B PE=3 SV=1
tr|A0A1A8IBD1|A0A1A8IBD1_NOTKU	tr|A0A1A8IBD1|A0A1A8IBD1_NOTKU Chemokine-like receptor 1 OS=Nothobranchius kuhntae OX=321403 GN=CMKLR1 PE=3 SV=1
tr|A0A1A8IBQ1|A0A1A8IBQ1_NOTKU	tr|A0A1A8IBQ1|A0A1A8IBQ1_NOTKU Coagulation factor II (Thrombin) receptor-like 3 (Fragment) OS=Nothobranchius kuhntae OX=321403 GN=F2RL3 PE=3 SV=1
tr|A0A1A8IGA2|A0A1A8IGA2_NOTKU	tr|A0A1A8IGA2|A0A1A8IGA2_NOTKU Muscarinic acetylcholine receptor (Fragment) OS=Nothobranchius kuhntae OX=321403 GN=CHRM5A PE=3 SV=1
tr|A0A1A8IGX3|A0A1A8IGX3_NOTKU	tr|A0A1A8IGX3|A0A1A8IGX3_NOTKU Oxytocin receptor OS=Nothobranchius kuhntae OX=321403 GN=OXTR PE=3 SV=1
